round,client_id,num_examples,train_loss,fitness,mu,proximal_distance_sq_half
1,client_0,2,11.110689163208008,0.29402083333333334,0.0,0.0
1,client_1,1,9.95533561706543,0.29402083333333334,0.0,0.0
1,client_2,1,10.02149772644043,0.29402083333333334,0.0,0.0
2,client_0,2,10.430541038513184,0.29402083333333334,0.0,0.0
2,client_1,1,11.102827072143555,0.29402083333333334,0.0,0.0
2,client_2,1,7.877166748046875,0.29402083333333334,0.0,0.0
3,client_0,2,11.446771621704102,0.29402083333333334,0.0,0.0
3,client_1,1,11.461250305175781,0.29402083333333334,0.0,0.0
3,client_2,1,9.111902236938477,0.29402083333333334,0.0,0.0
