round,loss,map50,map50_95,precision,recall,num_examples,elapsed_seconds
0,0.9909968466421036,0.009003153357896396,0.005733659146723943,0.00278127011518869,0.17441214219754234,300,0.0
1,0.9459514193309435,0.05404858066905651,0.04129060916620355,0.010349758831409681,0.40484492103063047,300,307.3406429000024
2,0.9027541990296701,0.09724580097032982,0.07469822789910606,0.7319686664860404,0.06485141377271395,300,608.5718159999815
3,0.8680143099753129,0.13198569002468705,0.10542597644900495,0.3788401874266293,0.18376591238735668,300,906.9265229000011
4,0.8457710990157996,0.15422890098420045,0.11947092950080096,0.3624754652379182,0.18796050886818064,300,1200.3264984999842
5,0.8339771894567111,0.16602281054328896,0.12840284776312466,0.4287502595575054,0.2120727439980193,300,1494.141590299987
6,0.8149759163238993,0.1850240836761007,0.14205025066219565,0.30147095834285953,0.26095402187054406,300,1788.1365575999953
7,0.8129373507073455,0.1870626492926545,0.14488599671185087,0.36331582537253215,0.23580435724227805,300,2080.5129480999894
8,0.7880960839309402,0.2119039160690598,0.1617987444303753,0.34117850094384516,0.29489937869610944,300,2373.535421299981
9,0.7853160451696789,0.21468395483032113,0.16439661783970463,0.33583915834910544,0.2549283115023385,300,2666.4769771999854
10,0.7824469313923622,0.21755306860763776,0.16434114818799428,0.348695530566993,0.2672041984809446,300,2960.1951796000067
11,0.7657143210031944,0.2342856789968056,0.18560347700495403,0.3555144875061866,0.2422634788989575,300,3253.493177299999
12,0.7715753614372044,0.22842463856279563,0.17749015630338327,0.3837975132866125,0.24311500220435586,300,3548.247106900002
13,0.7595366357543076,0.24046336424569237,0.18656942760007034,0.3620052255546296,0.26441668697198406,300,3842.2689298999903
14,0.7572962312458595,0.24270376875414051,0.18562310056277034,0.4090666523180853,0.24838616518040876,300,4135.124436099984
15,0.7516483263831089,0.2483516736168912,0.19366359384705767,0.3413689447630256,0.28622566285494144,300,4428.644819399982
16,0.7478898435741433,0.25211015642585666,0.19359484856294462,0.38819952407229874,0.2830229452814294,300,4726.456965299993
17,0.7446271056015658,0.25537289439843425,0.1990411091827393,0.4161420502271994,0.29324763936510656,300,5019.620971099997
18,0.7487538731692805,0.25124612683071945,0.19315463506400096,0.4370463966813605,0.27118005477145024,300,5312.668963999982
19,0.7513190277085732,0.2486809722914268,0.19180872654800252,0.4669400114772094,0.28841828597722396,300,5614.013862899999
20,0.7450637154262163,0.25493628457378376,0.19899274047261303,0.4176815466645426,0.27373743961256636,300,5908.859323499986
21,0.7596959228849275,0.24030407711507254,0.185828030108216,0.4379021351138417,0.2402586528619517,300,6202.656700799998
22,0.7398695949952899,0.2601304050047101,0.20148988892511122,0.3993839860571915,0.31066466882564975,300,6496.095755899994
23,0.728777924407292,0.271222075592708,0.2121369006458012,0.4566933246631928,0.2644656747605566,300,6788.756673199998
24,0.7449631126581289,0.2550368873418711,0.1966503243864391,0.3639342271136483,0.30707599635818983,300,7082.0089324
25,0.7422290666436563,0.2577709333563437,0.1941409484455401,0.36500592887441374,0.29977666601746916,300,7375.574737499992
26,0.747024240677227,0.252975759322773,0.19215295699322968,0.35251634556914885,0.2990494460836059,300,7668.469354000001
27,0.7418525939386935,0.2581474060613065,0.19479526850242812,0.3834812873009783,0.2816034787435183,300,7963.215723000001
28,0.7321457885593109,0.2678542114406891,0.20677469769936305,0.4110340435965135,0.2758637169846821,300,8255.5514501
29,0.7431654229969359,0.2568345770030641,0.19351099804873736,0.5111400866974749,0.23077136875042004,300,8547.470260200003
30,0.7409935176308462,0.25900648236915386,0.19519933752291707,0.40420924669959746,0.2840174251263158,300,8840.281586500001
31,0.7381747951272948,0.2618252048727053,0.19679495408962178,0.3559711963398403,0.29827814924982393,300,9134.00701619999
32,0.7373194507504763,0.2626805492495236,0.19922704647708644,0.43975202732784596,0.2761227183141806,300,9425.154352599988
33,0.7392730614464622,0.26072693855353785,0.20315893443063518,0.3380409279937963,0.30502971683987623,300,9717.51166650001
34,0.7367858557630951,0.263214144236905,0.1991468594776344,0.4671974169838845,0.26099075986916226,300,10011.09446220001
35,0.7461319507902966,0.2538680492097034,0.19078911236354262,0.38065328767893397,0.2803000492536303,300,10302.096965600009
36,0.7298820089016419,0.2701179910983581,0.2040365020867984,0.4867505692799732,0.2594559528772803,300,10594.159808099997
37,0.736739882009545,0.26326011799045507,0.19968637943108714,0.3621259248399179,0.2970783598586596,300,10899.762067100004
38,0.7346202118545764,0.2653797881454236,0.2022421390178406,0.45204860415471176,0.27397283550020485,300,11194.215625699988
39,0.7401121779581248,0.25988782204187516,0.19869770424907376,0.402149680401756,0.2964662302041665,300,11489.052223999985
40,0.7352364624016985,0.26476353759830146,0.20063388069128535,0.37316949462991983,0.3255828453030259,300,11781.671091900003
41,0.7429640580423957,0.2570359419576042,0.19120842346237588,0.4273349050965928,0.29255055134789804,300,12074.696414699982
42,0.7342636036668255,0.26573639633317453,0.1996632475334729,0.35118490654935064,0.3044362398902466,300,12367.823535500007
43,0.7484198802863331,0.25158011971366684,0.19245480294532158,0.3704468618290863,0.2922831158488391,300,12662.125367700006
44,0.737352619669668,0.2626473803303319,0.1991305150171725,0.4028706854126233,0.312122670033443,300,12955.482387299999
45,0.7422253874171258,0.2577746125828742,0.1968432014205684,0.3848283547577932,0.29214406705803514,300,13247.271753699984
