round,loss,map50,map50_95,precision,recall,num_examples,elapsed_seconds
0,0.9873413352407163,0.01265866475928363,0.009321905664716058,0.0020120472212992913,0.17073386869947468,300,0.0
1,0.9408983527153884,0.05910164728461163,0.046086191345579675,0.009954927668720312,0.4247833601694415,300,293.57898200000636
2,0.9003600783819272,0.09963992161807282,0.07697312468114675,0.5827485199946382,0.09210351964011257,300,589.2225496000028
3,0.876134909096,0.12386509090400004,0.09703834193008021,0.36673224218447525,0.16855843779535232,300,882.8897222999949
4,0.8493400099021619,0.15065999009783815,0.11627335641265278,0.29780387935046726,0.21631967805733648,300,1179.8710173
5,0.83069431058725,0.1693056894127501,0.128679741668726,0.4576790930981261,0.21162997742366757,300,1471.3028463000082
6,0.8193223970755377,0.18067760292446236,0.13751302515980662,0.3329978187671733,0.22632672933198764,300,1765.671034900006
7,0.8075850518220091,0.1924149481779909,0.1462973352401592,0.3583543773314595,0.2697649990903296,300,2060.9909049000125
8,0.7914043094580565,0.20859569054194355,0.1599001935856604,0.30752574233126173,0.2802829841189549,300,2355.460367599997
9,0.782241952766271,0.21775804723372905,0.16286197023936275,0.38964473950643935,0.2480268157665329,300,2649.408693300007
10,0.7726159248169389,0.22738407518306114,0.1775463765342846,0.369502707236446,0.25538509960698713,300,2942.113127599994
11,0.7659962877356782,0.2340037122643218,0.17817501557436846,0.33574332188064226,0.2873594840129653,300,3234.6290814999957
12,0.7681800205030812,0.23181997949691882,0.17998272200442858,0.3345138772311499,0.26920137397993277,300,3528.7264599000046
13,0.7567097308530056,0.24329026914699434,0.18628473603640117,0.325794160211837,0.2940886069813032,300,3822.8851956000144
14,0.7652029739904149,0.23479702600958513,0.1806301165409225,0.33002721238359994,0.3116595476370944,300,4116.558594200003
15,0.7529303726803549,0.24706962731964505,0.19107334504038925,0.31399390139493455,0.28875406857770497,300,4411.364762699988
16,0.758480233987802,0.24151976601219807,0.18948175094989878,0.4535162886230447,0.2322909864149802,300,4704.789668699988
17,0.7583145616752212,0.2416854383247789,0.18206090356919574,0.3126607796812776,0.31471726181401544,300,4997.869163700001
18,0.7619390870851839,0.23806091291481613,0.18307318809124368,0.3503978781442378,0.2879153008507796,300,5291.436394899996
19,0.7534420348453227,0.24655796515467734,0.1876870693736131,0.3576283822248685,0.2901868862401523,300,5585.5094328999985
20,0.7593801926210426,0.24061980737895744,0.18347427416305045,0.3139943032853586,0.30904203090929594,300,5883.218731000001
21,0.7485094073134227,0.25149059268657725,0.19622893359582164,0.392891377359108,0.2779081633834172,300,6177.934811599989
22,0.7375807479313633,0.2624192520686367,0.20562125768698436,0.38320755847782384,0.30233412130820886,300,6473.714199700014
23,0.7483654261814052,0.2516345738185948,0.19584761880610235,0.3281532692060388,0.30437161069040153,300,6766.417070299998
24,0.7572580721739615,0.24274192782603854,0.18659983890715662,0.34586104429688425,0.3070467841216429,300,7061.087032999989
25,0.7507189577080974,0.24928104229190265,0.1927335192354026,0.47369720562746676,0.2588900044668383,300,7354.682118099998
26,0.7429664921004867,0.2570335078995133,0.19895771475012328,0.33252040301426383,0.3275220450656226,300,7658.894612200005
27,0.743801162553799,0.2561988374462009,0.19729623035716695,0.4475206385660311,0.28884721139298347,300,7953.498151900014
28,0.7426331962693383,0.2573668037306617,0.19976141494274682,0.392960901827345,0.30659899488416775,300,8247.421999499988
29,0.7437637324643829,0.2562362675356172,0.19832935249863937,0.4329184556749327,0.270524712880767,300,8541.419728900015
30,0.7578364905275858,0.24216350947241422,0.18721878554718788,0.35148213804089895,0.30705941980464,300,8838.711125099973
31,0.7522744691798935,0.24772553082010645,0.19586883096722432,0.32371744822135157,0.309757609766823,300,9136.815052099992
32,0.748257838576145,0.25174216142385497,0.19495251327790553,0.3898370238447891,0.2919639593224131,300,9430.297795600025
33,0.7578986120557002,0.24210138794429983,0.18816043224036672,0.3293377898037939,0.30647614523519395,300,9728.080761199992
34,0.7329609689321789,0.2670390310678211,0.20655522341515042,0.4016819054116776,0.3117455478721715,300,10031.979418499977
