round,loss,map50,map50_95,precision,recall,num_examples,elapsed_seconds
0,0.9873413352407163,0.01265866475928363,0.009321905664716058,0.0020120472212992913,0.17073386869947468,300,0.0
1,0.9432324045817452,0.05676759541825481,0.044280573632952944,0.010689458810646394,0.40469136935428995,300,309.5809350000345
2,0.9008318885388344,0.09916811146116553,0.07351709750131899,0.6707185409534068,0.07488368566717477,300,631.3395852000103
3,0.8793046204036722,0.12069537959632785,0.09215905685409867,0.4460535557300213,0.16529485076729084,300,948.232233399991
4,0.8444450637434016,0.15555493625659844,0.12055152668596532,0.3122233009336197,0.20968955650068505,300,1277.8431877000257
5,0.8266726707515271,0.17332732924847297,0.12983463114367041,0.31605750365344193,0.23352047669572137,300,1598.7493744000094
6,0.806914141375219,0.19308585862478095,0.14731973277152124,0.3173930894169917,0.2541795974360465,300,1915.2075587
7,0.8042103779481049,0.19578962205189504,0.14744822813667935,0.3518246076291257,0.2672313750928794,300,2238.1395364000346
8,0.781922021372933,0.21807797862706696,0.1639004846084485,0.4030614331043247,0.3197695574082188,300,2568.0091607000213
9,0.767522953048041,0.2324770469519591,0.176181171039129,0.41539891911259164,0.3083433731660728,300,2889.246933599992
10,0.7670561639210827,0.23294383607891728,0.17929918334129127,0.3769912442708854,0.2871502073122534,300,3215.065317300032
11,0.7699055077827885,0.2300944922172115,0.17354416563315847,0.3268376277807595,0.2930314938828703,300,3541.1079517999897
12,0.7711060334429266,0.22889396655707342,0.17357370955520784,0.34466902948798683,0.3002454337858561,300,3865.2329954000306
13,0.7681517344023228,0.23184826559767718,0.1752641463570524,0.3286372321393736,0.2849487848627096,300,4195.879347600043
14,0.7576979271933105,0.24230207280668944,0.1839019850957986,0.3348155038595947,0.30590163018913347,300,4532.641949200013
15,0.7614250447319906,0.23857495526800943,0.17943616568940599,0.39143962075836086,0.26908227379018734,300,4855.813935399987
16,0.758092154392203,0.24190784560779693,0.18266809280198776,0.39839296658457435,0.2515401295521596,300,5177.359629100014
17,0.7570117221196819,0.24298827788031813,0.18275237175868692,0.38627249079177156,0.25820960339956905,300,5503.468850600009
18,0.751904608554903,0.2480953914450969,0.18586391330042035,0.3972614047258443,0.2675356550011412,300,5824.49210740003
19,0.7543097657286759,0.24569023427132414,0.18398827415376184,0.4015810408683926,0.2786681775575081,300,6152.491077000042
20,0.7543827145813907,0.2456172854186093,0.18422271743888166,0.45957391489651134,0.25592468615945674,300,6469.615989800019
21,0.7566103312865693,0.2433896687134307,0.18410649981461422,0.3186502284643423,0.30601817811654775,300,6782.993285400036
22,0.762220195123533,0.23777980487646694,0.1760958986123201,0.4202153108065893,0.25980450254376247,300,7097.289071700012
