round,client_id,num_examples,train_loss,fitness,mu,proximal_distance_sq_half
1,client_0,113,5.630741119384766,0.021469270907529724,0.01,1.2701960802078247
1,client_1,345,5.072395324707031,0.06414303552406181,0.01,3.741130828857422
1,client_2,174,5.621655464172363,0.06795986693536042,0.01,1.8987300395965576
1,client_3,126,5.640761375427246,0.035793719392816635,0.01,1.3008135557174683
1,client_4,202,5.473013877868652,0.12407902610385155,0.01,2.407827377319336
2,client_0,113,5.059961795806885,0.04027102620439873,0.01,1.0706771612167358
2,client_1,345,4.721040725708008,0.16773941934508152,0.01,2.9487571716308594
2,client_2,174,5.056700706481934,0.06168839440302056,0.01,1.5987920761108398
2,client_3,126,5.138740539550781,0.06037987069697086,0.01,1.0844930410385132
2,client_4,202,4.987278461456299,0.11143638727348674,0.01,1.9454078674316406
3,client_0,113,5.273733615875244,0.07626615846429069,0.01,1.050806999206543
3,client_1,345,4.528290748596191,0.1811969167696411,0.01,2.825970411300659
3,client_2,174,4.884274959564209,0.11572277661854331,0.01,1.5346317291259766
3,client_3,126,4.889958381652832,0.058919370394850006,0.01,1.0316466093063354
3,client_4,202,4.700958251953125,0.15227811742964859,0.01,1.82867431640625
4,client_0,113,4.723440170288086,0.10590333022825024,0.01,1.0190296173095703
4,client_1,345,4.357637882232666,0.23446978434697813,0.01,2.7535147666931152
4,client_2,174,4.660220623016357,0.09999895416899755,0.01,1.4624128341674805
4,client_3,126,4.744090557098389,0.07780146786970271,0.01,1.0284804105758667
4,client_4,202,4.564216613769531,0.17367515556909438,0.01,1.7634925842285156
5,client_0,113,4.566709518432617,0.11285516163747836,0.01,1.0485210418701172
5,client_1,345,4.216826915740967,0.2749421112579721,0.01,2.7008678913116455
5,client_2,174,4.491971015930176,0.15324609451824536,0.01,1.4630986452102661
5,client_3,126,4.596574783325195,0.09533358125545091,0.01,0.9549831748008728
5,client_4,202,4.422797679901123,0.16272263490792183,0.01,1.7067809104919434
6,client_0,113,4.588707447052002,0.08745695788540553,0.01,0.9952042698860168
6,client_1,345,4.134903907775879,0.32522626229107354,0.01,2.5892345905303955
6,client_2,174,4.326068878173828,0.15984225706448868,0.01,1.4448115825653076
6,client_3,126,4.319930553436279,0.11056061507965513,0.01,0.9901325106620789
6,client_4,202,4.241087913513184,0.18113139891367297,0.01,1.7385146617889404
7,client_0,113,4.6397833824157715,0.10865486411719845,0.01,1.0246413946151733
7,client_1,345,3.937262535095215,0.2900344669075964,0.01,2.6332926750183105
7,client_2,174,4.333014488220215,0.11811720154481642,0.01,1.444697380065918
7,client_3,126,4.675642967224121,0.1128110274840789,0.01,0.9632090330123901
7,client_4,202,4.150333404541016,0.19866334964957413,0.01,1.6562901735305786
8,client_0,113,5.7777557373046875,0.10377436094369086,0.01,1.035109281539917
8,client_1,345,3.9133403301239014,0.332420817638667,0.01,2.539226531982422
8,client_2,174,4.3708600997924805,0.15208245474802295,0.01,1.4213881492614746
8,client_3,126,4.128946781158447,0.15768302108031837,0.01,0.9909989833831787
8,client_4,202,4.218379020690918,0.13554182857539762,0.01,1.7564560174942017
