round,loss,map50,map50_95,precision,recall,num_examples,elapsed_seconds
0,0.9975308132219308,0.0024691867780691325,0.0014880675525252838,0.001504570604393016,0.1578059339852103,300,0.0
1,0.9436195109198602,0.056380489080139776,0.04355072223629916,0.013003210421385154,0.38473895382934525,300,293.41786429999047
2,0.905391723422037,0.09460827657796306,0.07402094085070746,0.583418587482629,0.07256423298956907,300,587.4746045999927
3,0.8723938691058448,0.12760613089415512,0.09922401765196102,0.36763839265184217,0.17776508256185042,300,881.3856746999954
4,0.8559136873161776,0.14408631268382247,0.11050171231143362,0.28231433219661506,0.18971319537526823,300,1173.5606344999978
5,0.8411713654905145,0.1588286345094855,0.12212881350191555,0.2559646578378519,0.2523057686558023,300,1465.6094195999904
6,0.811619688143088,0.18838031185691193,0.14144114583965492,0.3472731312692011,0.1899263132344184,300,1759.5472582999791
7,0.8103196309519292,0.18968036904807087,0.14758229101856668,0.30875783596439055,0.24850549941176023,300,2053.0659139000054
8,0.7961137485030032,0.2038862514969968,0.15573345118057044,0.36664119366841275,0.27787330184700554,300,2345.8467836999916
9,0.7787552525402546,0.22124474745974537,0.17271438591539126,0.24461591422864454,0.2987588243097298,300,2640.457720799983
10,0.7706310592538252,0.2293689407461747,0.17477032193455408,0.32687135638465586,0.27402636263204894,300,2933.724559800001
11,0.7597391516145108,0.2402608483854892,0.185038360348816,0.44099066466380765,0.23433905723068835,300,3226.6187697999994
12,0.756879925033602,0.24312007496639798,0.1904428165273761,0.3000367838733739,0.3293366204959996,300,3520.744718699978
13,0.7571970364806985,0.24280296351930156,0.18538070441280116,0.3010476703790178,0.31393590307046665,300,3813.386329799978
14,0.7565273698420353,0.24347263015796475,0.18744660774754762,0.3246411695405545,0.30943059342515533,300,4108.862657499994
15,0.7470750418081531,0.25292495819184685,0.19723278018115384,0.44520120057333823,0.25911914504138084,300,4403.05692219999
16,0.7429110926033167,0.2570889073966834,0.1987401870258517,0.33641315397379284,0.3061012773862524,300,4695.693393599999
17,0.7468913499671704,0.25310865003282956,0.19573554025837653,0.3474289590648397,0.3079599342362149,300,4989.515628199995
18,0.7553011963797562,0.24469880362024382,0.18901466809663642,0.36485461598091184,0.28615109414857254,300,5281.852995900001
19,0.7412292337992503,0.2587707662007497,0.19810031509489573,0.3784148550906426,0.274628430757609,300,5575.975090099993
20,0.7402143114323178,0.25978568856768225,0.19978617749326133,0.37687215526116213,0.2899742553105471,300,5871.859969499987
21,0.7377756825723067,0.2622243174276932,0.20364643944550603,0.40202797431214793,0.2675071357504669,300,6166.983468399994
22,0.7350519334694591,0.2649480665305409,0.2067782633263788,0.37864141717021027,0.29014386274451526,300,6462.270831100002
