round,loss,map50,map50_95,precision,recall,num_examples,elapsed_seconds
0,0.9975308132219308,0.0024691867780691325,0.0014880675525252838,0.001504570604393016,0.1578059339852103,300,0.0
1,0.9414891772751286,0.05851082272487137,0.04431875694553804,0.01343140789476307,0.3976011065433865,300,298.8888542999921
2,0.9091615332237243,0.0908384667762757,0.06940083116923218,0.6262609899055696,0.06392896017067988,300,596.0479691999935
3,0.8695181163081125,0.1304818836918875,0.09737024456041783,0.3025038095738779,0.18237115478257868,300,893.7214269999968
4,0.8601060887810448,0.13989391121895522,0.10741901849043435,0.27335936317864384,0.22935355656374745,300,1190.5154533000023
5,0.8336182466817964,0.16638175331820357,0.12184940894339993,0.3104139460080856,0.23146378969944292,300,1484.8506576999935
6,0.8160766334609345,0.1839233665390655,0.13590827038721714,0.32790710043395543,0.25096751972954146,300,1779.324638399994
7,0.8130224529113631,0.18697754708863687,0.1433217173739965,0.2551098145891295,0.26130668365476545,300,2075.2461238999967
8,0.7870178446192163,0.21298215538078366,0.15955414491687267,0.26601223936917107,0.30156848001719216,300,2370.8897571999987
9,0.7888819448382977,0.21111805516170232,0.15818981766629966,0.2855262900816931,0.31977630339805685,300,2665.5584208999935
10,0.7750472778796152,0.22495272212038472,0.17161348287801995,0.3453203280133202,0.27386942279448334,300,2962.053681199992
11,0.7844476379218925,0.2155523620781074,0.16054731372582498,0.31473986854801955,0.2855654010715949,300,3256.9813752000045
12,0.7764377588141511,0.22356224118584883,0.16785030107106277,0.34125466921479025,0.2719573760395311,300,3552.170830300005
13,0.7737856115635543,0.22621438843644567,0.1718265412061732,0.35535076591168646,0.2936367123862025,300,3848.4948929999955
14,0.7771287817883139,0.22287121821168604,0.16861986255874822,0.2748414913700445,0.31372121405267195,300,4143.3735655000055
15,0.775163229501127,0.22483677049887296,0.1688552210040714,0.34149157696713595,0.270308555107895,300,4438.059037500003
16,0.7768385747726272,0.22316142522737287,0.17029532331588082,0.3080234892284567,0.30652400173292665,300,4732.013982699995
17,0.7747392618550113,0.22526073814498865,0.17255817865218723,0.3341320375296676,0.2956593283936907,300,5028.351962600005
18,0.7686267608911116,0.23137323910888838,0.17751674623485922,0.345651289830201,0.28131691032895495,300,5323.442911299993
19,0.7587436366355996,0.2412563633644004,0.18828536684962857,0.3814028007969781,0.2876647320826061,300,5620.4453666000045
20,0.7646397193514267,0.23536028064857323,0.17951524323042028,0.42322522665814316,0.264797854527091,300,5917.4108503000025
21,0.760237168041297,0.23976283195870293,0.18464699765176412,0.3770611413762041,0.2719244536250962,300,6213.737487699997
22,0.7659987309987575,0.23400126900124257,0.17949030915763906,0.35938577222043805,0.29590512695908655,300,6509.374032299995
23,0.7728303232140528,0.22716967678594724,0.17828357675593387,0.34243037203107346,0.28747004178302193,300,6806.120717800004
24,0.7542498500283359,0.2457501499716641,0.1894816103003246,0.3578343123758999,0.2861095458082412,300,7101.002264399998
25,0.7697869989375149,0.23021300106248513,0.17181662203501205,0.33340894976936164,0.2909919636904757,300,7398.572968799999
26,0.7592453715794704,0.2407546284205296,0.183066705471716,0.4327166690853897,0.2771613242346476,300,7695.698430999997
27,0.7659250272326332,0.23407497276736672,0.1792381998695755,0.2977650833224299,0.29287233612748836,300,7992.669257000001
28,0.7756804866454832,0.22431951335451678,0.1691899868028238,0.31605537032592235,0.312597568008485,300,8288.959086799994
29,0.7622890268007996,0.23771097319920048,0.18247160483695496,0.3531980638111333,0.29368932398906844,300,8585.279877099994
30,0.7619157427769019,0.23808425722309812,0.17915044944254935,0.45161005991561476,0.23713226755208158,300,8882.6808763
31,0.7697896647271217,0.23021033527287824,0.17563713316729007,0.36808297997943396,0.2749963912131842,300,9178.755736499996
32,0.7540637053779702,0.24593629462202987,0.18601820547506875,0.3700399140514129,0.29073943406148955,300,9475.099750499998
33,0.7619791964868354,0.23802080351316462,0.18519852899706005,0.43688084103510344,0.24562992612213924,300,9774.969467499992
34,0.7571641664918985,0.24283583350810148,0.18108020113515635,0.3693683823524124,0.29750598761072267,300,10070.7219147
35,0.7581123729218595,0.24188762707814054,0.1827600252245935,0.33997586685771364,0.3133054955102769,300,10366.087436400005
36,0.7578956770212986,0.24210432297870138,0.1812119648433623,0.36178279306149685,0.29320252770512367,300,10661.150058700005
37,0.7500965248576568,0.24990347514234318,0.1865627544504637,0.3613001783233299,0.31030794971188885,300,10956.711661199995
38,0.7640515934138823,0.23594840658611765,0.17712651350836886,0.4039974980870139,0.27204521404195037,300,11253.580031899997
39,0.7704428494072799,0.22955715059272003,0.17093769432263567,0.44357683386845637,0.2675450741970736,300,11548.197293499994
40,0.7556047665344724,0.24439523346552763,0.1864019115341689,0.34620221482190366,0.30624286979736987,300,11845.816553600001
41,0.7578265415873403,0.24217345841265966,0.18376462215960612,0.3824088335405858,0.29448961039878424,300,12142.7487654
42,0.7699525499851748,0.23004745001482516,0.173375090808599,0.3137294881867704,0.2803451856115009,300,12439.495304099997
43,0.7521441551366903,0.2478558448633097,0.18686624660383852,0.42676717976992345,0.2760954581937911,300,12735.677825899998
44,0.7501066993349635,0.24989330066503648,0.19060918802717594,0.39493629318731527,0.3068371132436628,300,13031.201895599996
45,0.7466299145177031,0.25337008548229684,0.19198276185034702,0.42032403432383275,0.30311017123356754,300,13326.770201499996
46,0.7598075849175843,0.24019241508241573,0.1802878513441784,0.45888203297986313,0.2670713357941511,300,13621.728741800005
47,0.7495043243742979,0.2504956756257021,0.1885073809508607,0.4502735813136681,0.27808990952557505,300,13916.413494299995
48,0.7613317563336977,0.2386682436663024,0.17873290337252812,0.36177932605534574,0.29536347595698165,300,14212.7748191
49,0.7415138618217475,0.2584861381782525,0.19656220140609773,0.4636320163851736,0.265245574132582,300,14509.123349200003
50,0.7519019095478167,0.24809809045218337,0.18947442089692992,0.5080174999918105,0.2587751592045418,300,14805.726266099999
