round,client_id,num_examples,train_loss,fitness,mu,proximal_distance_sq_half
1,client_0,113,5.724124908447266,0.023640888443490736,0.0,1.300215482711792
1,client_1,345,5.007785797119141,0.08296153552787552,0.0,3.7822203636169434
1,client_2,174,5.816166400909424,0.0328603922113044,0.0,1.8777730464935303
1,client_3,126,5.692466735839844,0.03673353092027978,0.0,1.3183245658874512
1,client_4,202,5.516515731811523,0.10845351708043771,0.0,2.398787260055542
2,client_0,113,5.394929885864258,0.038277040923069265,0.0,1.0613123178482056
2,client_1,345,4.763583183288574,0.14002520709858232,0.0,3.053769826889038
2,client_2,174,5.223145484924316,0.07575047345525414,0.0,1.6215147972106934
2,client_3,126,5.080959796905518,0.08667233897195648,0.0,1.0674538612365723
2,client_4,202,4.945531368255615,0.10444383236650993,0.0,1.9388046264648438
3,client_0,113,4.658576488494873,0.05058394722903544,0.0,1.0517706871032715
3,client_1,345,4.512948036193848,0.14983251455496308,0.0,2.7953615188598633
3,client_2,174,4.816874027252197,0.09197354046602754,0.0,1.6004798412322998
3,client_3,126,5.019392013549805,0.07851474297768161,0.0,1.0376036167144775
3,client_4,202,4.770534515380859,0.16469496533200761,0.0,1.8151302337646484
4,client_0,113,4.5410919189453125,0.09214220368947763,0.0,1.0520915985107422
4,client_1,345,4.311337947845459,0.17812319877332547,0.0,2.684598445892334
4,client_2,174,4.774871349334717,0.07823142856322644,0.0,1.511422038078308
4,client_3,126,4.756516933441162,0.08114189359969551,0.0,1.0222084522247314
4,client_4,202,4.633252143859863,0.15822271800949977,0.0,1.7811498641967773
5,client_0,113,4.67827033996582,0.09470535208190864,0.0,1.0389069318771362
5,client_1,345,4.280993461608887,0.13603028313557852,0.0,2.568965196609497
5,client_2,174,4.57020902633667,0.10111273691049014,0.0,1.4890192747116089
5,client_3,126,4.425890922546387,0.13860886994320332,0.0,1.0115747451782227
5,client_4,202,4.323943138122559,0.15076306550864876,0.0,1.687719702720642
6,client_0,113,5.00667667388916,0.12598237153167552,0.0,1.0109025239944458
6,client_1,345,4.081947326660156,0.2103685945375832,0.0,2.6397624015808105
6,client_2,174,4.325136184692383,0.19725582545638137,0.0,1.4515725374221802
6,client_3,126,4.56976842880249,0.13637192490946018,0.0,1.0052475929260254
6,client_4,202,4.1301164627075195,0.2199081282236564,0.0,1.7044939994812012
7,client_0,113,4.661743640899658,0.10181459411593508,0.0,1.0281798839569092
7,client_1,345,3.9576334953308105,0.20908012982857446,0.0,2.5898447036743164
7,client_2,174,4.167848110198975,0.12401270312172841,0.0,1.4508877992630005
7,client_3,126,4.305649757385254,0.1005092396831958,0.0,0.987723171710968
7,client_4,202,4.3377509117126465,0.20982121441013502,0.0,1.6758034229278564
8,client_0,113,4.597781658172607,0.10387651904635417,0.0,1.0291244983673096
8,client_1,345,3.9603934288024902,0.32045796526617365,0.0,2.57991361618042
8,client_2,174,4.4035491943359375,0.10096985324281789,0.0,1.4314662218093872
8,client_3,126,4.2487311363220215,0.12046870778361612,0.0,0.99613356590271
8,client_4,202,4.17137336730957,0.15813427095668126,0.0,1.6755460500717163
9,client_0,113,4.468595504760742,0.12412093419432661,0.0,1.016596794128418
9,client_1,345,3.744962453842163,0.32277037099813605,0.0,2.477094888687134
9,client_2,174,4.02182674407959,0.1483167958120158,0.0,1.4293510913848877
9,client_3,126,4.3117241859436035,0.16196408802050172,0.0,0.9785478115081787
9,client_4,202,3.929612398147583,0.19536049394565197,0.0,1.640115737915039
10,client_0,113,5.169993877410889,0.11049947037393423,0.0,1.016383171081543
10,client_1,345,3.6711902618408203,0.24411756387977282,0.0,2.4914119243621826
10,client_2,174,3.907305955886841,0.1453941538792459,0.0,1.3974591493606567
10,client_3,126,4.1514058113098145,0.14348734948057845,0.0,0.9644753932952881
10,client_4,202,4.151806831359863,0.20939515165260975,0.0,1.6625384092330933
11,client_0,113,4.206051826477051,0.13830837337271754,0.0,0.9998410940170288
11,client_1,345,3.594542980194092,0.3030442424111881,0.0,2.360441207885742
11,client_2,174,4.100649833679199,0.11177731858827919,0.0,1.4074559211730957
11,client_3,126,4.005494117736816,0.1738958358806007,0.0,0.9778292179107666
11,client_4,202,3.9414279460906982,0.18230175990691286,0.0,1.6440761089324951
12,client_0,113,3.91165828704834,0.09969193508891461,0.0,0.9835277199745178
12,client_1,345,3.53383469581604,0.34983989411596744,0.0,2.446436882019043
12,client_2,174,3.848506212234497,0.10020753132452856,0.0,1.413163661956787
12,client_3,126,3.9498796463012695,0.14510863429611573,0.0,1.0062973499298096
12,client_4,202,3.8037023544311523,0.16370425251164075,0.0,1.6059646606445312
13,client_0,113,4.2632646560668945,0.12751687635576323,0.0,1.0190744400024414
13,client_1,345,3.3838651180267334,0.39590739228365207,0.0,2.4761576652526855
13,client_2,174,3.8610708713531494,0.0989225610374941,0.0,1.4197158813476562
13,client_3,126,3.820326328277588,0.14447273557365592,0.0,0.946729838848114
13,client_4,202,3.969574213027954,0.16917398349420298,0.0,1.6084164381027222
14,client_0,113,3.900660991668701,0.10462008701371243,0.0,0.9867424368858337
14,client_1,345,3.4341416358947754,0.3131256937287087,0.0,2.399763584136963
14,client_2,174,3.815176486968994,0.1336297298463386,0.0,1.4182853698730469
14,client_3,126,3.7064085006713867,0.18356500173437623,0.0,0.9561302661895752
14,client_4,202,3.728311061859131,0.18179549628779382,0.0,1.641798496246338
15,client_0,113,3.8907251358032227,0.11784557093437062,0.0,1.0092697143554688
15,client_1,345,3.4262468814849854,0.3746831278373915,0.0,2.412705898284912
15,client_2,174,3.7402024269104004,0.1999113414747257,0.0,1.373338222503662
15,client_3,126,3.8984546661376953,0.18257680613819474,0.0,0.9627269506454468
15,client_4,202,3.681086301803589,0.17486666245777444,0.0,1.6486371755599976
16,client_0,113,4.104504108428955,0.14306379949087958,0.0,0.9909953474998474
16,client_1,345,3.3385894298553467,0.34122271025733564,0.0,2.421278953552246
16,client_2,174,3.6113781929016113,0.11825228934316949,0.0,1.3768388032913208
16,client_3,126,3.660003662109375,0.18650252682540652,0.0,0.9617106914520264
16,client_4,202,3.750936985015869,0.20340676451603837,0.0,1.5946455001831055
17,client_0,113,3.8307597637176514,0.11750160996119435,0.0,1.0213985443115234
17,client_1,345,3.3465805053710938,0.2952632007244568,0.0,2.405468463897705
17,client_2,174,3.5987610816955566,0.11383627749093941,0.0,1.3491389751434326
17,client_3,126,3.7878963947296143,0.17620260288865938,0.0,0.9307992458343506
17,client_4,202,3.623652935028076,0.2021983965906697,0.0,1.6224775314331055
18,client_0,113,3.5885415077209473,0.11022986446451519,0.0,0.997167706489563
18,client_1,345,3.245133399963379,0.35696359384900994,0.0,2.396829128265381
18,client_2,174,3.6380653381347656,0.14767701304010378,0.0,1.374464750289917
18,client_3,126,3.5640041828155518,0.16250788876912264,0.0,0.9465367197990417
