round,client_id,num_examples,train_loss,fitness,mu,proximal_distance_sq_half
1,client_0,113,5.720912456512451,0.025452696254282356,0.01,1.2992134094238281
1,client_1,345,4.995552062988281,0.11185575021231699,0.01,3.7753677368164062
1,client_2,174,5.841351509094238,0.03066048407568877,0.01,1.8780772686004639
1,client_3,126,5.698528289794922,0.03711527083207903,0.01,1.3176448345184326
1,client_4,202,5.490840435028076,0.12172445997279147,0.01,2.3920607566833496
2,client_0,113,5.404256820678711,0.03581297173588979,0.01,1.0617265701293945
2,client_1,345,4.785212993621826,0.13105514709886337,0.01,3.0041582584381104
2,client_2,174,5.248404502868652,0.0843426677118927,0.01,1.6074202060699463
2,client_3,126,5.024171829223633,0.08141314444969244,0.01,1.067728042602539
2,client_4,202,4.912110805511475,0.14185205327630923,0.01,1.9198880195617676
3,client_0,113,4.6260762214660645,0.04910835278519517,0.01,1.054571270942688
3,client_1,345,4.5648932456970215,0.13288596784987056,0.01,2.8273673057556152
3,client_2,174,4.91799259185791,0.09880974194478025,0.01,1.5678600072860718
3,client_3,126,4.974538803100586,0.07583716747317112,0.01,1.0365835428237915
3,client_4,202,4.697349548339844,0.14952773044105486,0.01,1.784354567527771
4,client_0,113,4.508264541625977,0.09801518548600667,0.01,1.0517868995666504
4,client_1,345,4.292132377624512,0.20279355419053888,0.01,2.6713814735412598
4,client_2,174,4.770369052886963,0.09388505274419087,0.01,1.4898123741149902
4,client_3,126,4.753585338592529,0.07659350265399464,0.01,1.0014755725860596
4,client_4,202,4.632150173187256,0.1452624208542096,0.01,1.74592125415802
5,client_0,113,4.659751892089844,0.11025514857829474,0.01,1.040615200996399
5,client_1,345,4.2631683349609375,0.21352181698613393,0.01,2.5901100635528564
5,client_2,174,4.59462308883667,0.13569093122491266,0.01,1.4713914394378662
5,client_3,126,4.40315580368042,0.11455898360165895,0.01,0.9990906119346619
5,client_4,202,4.384469032287598,0.17409382632505446,0.01,1.6754090785980225
6,client_0,113,4.969968795776367,0.11564020117522991,0.01,1.0161982774734497
6,client_1,345,4.053359031677246,0.2641010239321096,0.01,2.6059818267822266
6,client_2,174,4.360122203826904,0.13245355676510573,0.01,1.457632064819336
6,client_3,126,4.547505855560303,0.14893564499250433,0.01,1.0137064456939697
6,client_4,202,4.099318504333496,0.16809856364612719,0.01,1.6745648384094238
7,client_0,113,4.619575023651123,0.1273835649996688,0.01,1.0248247385025024
7,client_1,345,3.9848251342773438,0.34043196433635753,0.01,2.536670684814453
7,client_2,174,4.211869716644287,0.21154120824788886,0.01,1.4543402194976807
7,client_3,126,4.3236894607543945,0.10873566226665683,0.01,0.9837645292282104
7,client_4,202,4.305008411407471,0.1864528647824955,0.01,1.670063853263855
8,client_0,113,4.508835792541504,0.07914441202005812,0.01,1.0305039882659912
8,client_1,345,4.008417129516602,0.3511265385977756,0.01,2.5587985515594482
8,client_2,174,4.416086673736572,0.16300554592707467,0.01,1.4308645725250244
8,client_3,126,4.180558204650879,0.14467043790420905,0.01,0.9844300746917725
8,client_4,202,4.1834211349487305,0.19708820481835435,0.01,1.6634865999221802
9,client_0,113,4.518180847167969,0.11332686422470531,0.01,1.0243525505065918
9,client_1,345,3.7846875190734863,0.25967657755467743,0.01,2.4606757164001465
9,client_2,174,4.045478820800781,0.09691054807560681,0.01,1.4230421781539917
9,client_3,126,4.330005645751953,0.12707048982566138,0.01,0.9723718166351318
9,client_4,202,4.01908016204834,0.15464111982372128,0.01,1.6490309238433838
10,client_0,113,5.490965366363525,0.09900293259154942,0.01,1.012275218963623
10,client_1,345,3.6279563903808594,0.3310334792457882,0.01,2.4657020568847656
10,client_2,174,3.9613962173461914,0.22994857745028208,0.01,1.3931169509887695
10,client_3,126,4.172046661376953,0.13218214988931976,0.01,0.9631804823875427
10,client_4,202,4.138969421386719,0.21453152026246858,0.01,1.664000153541565
11,client_0,113,4.148593902587891,0.10139178324359228,0.01,0.989274263381958
11,client_1,345,3.5415735244750977,0.36655669117716855,0.01,2.341400623321533
11,client_2,174,4.068192958831787,0.10759478764053147,0.01,1.379782795906067
11,client_3,126,4.037698745727539,0.14052167615194747,0.01,0.9702781438827515
11,client_4,202,3.9433202743530273,0.17691683577393688,0.01,1.6238833665847778
12,client_0,113,3.8249964714050293,0.09471835631088721,0.01,0.9909286499023438
12,client_1,345,3.504896640777588,0.3215221521411594,0.01,2.402700662612915
12,client_2,174,3.8003714084625244,0.11750834211668511,0.01,1.4043132066726685
12,client_3,126,4.008565425872803,0.18883781009238693,0.01,0.9857490062713623
12,client_4,202,3.8169443607330322,0.15967719041269127,0.01,1.59437894821167
13,client_0,113,4.1788740158081055,0.14035875792099575,0.01,1.012216567993164
13,client_1,345,3.4054646492004395,0.3988598242417587,0.01,2.4716992378234863
13,client_2,174,3.9583466053009033,0.11461601495403492,0.01,1.4354236125946045
13,client_3,126,3.7662155628204346,0.18229777028534688,0.01,0.939458966255188
13,client_4,202,3.9280760288238525,0.2101313407053292,0.01,1.6193684339523315
14,client_0,113,3.9105100631713867,0.12864448854572394,0.01,1.0006968975067139
14,client_1,345,3.452390193939209,0.32286619832149316,0.01,2.374558210372925
14,client_2,174,3.8219947814941406,0.19193907193718934,0.01,1.3711234331130981
14,client_3,126,3.729729652404785,0.1939538450450027,0.01,0.9549247622489929
14,client_4,202,3.749856472015381,0.1953020179587808,0.01,1.6416300535202026
15,client_0,113,3.8019256591796875,0.10301153361884065,0.01,1.0136423110961914
15,client_1,345,3.4581093788146973,0.3128026577297672,0.01,2.376359224319458
15,client_2,174,3.790616512298584,0.2241232584956462,0.01,1.385585069656372
15,client_3,126,3.8714537620544434,0.18988418624255285,0.01,0.977195143699646
15,client_4,202,3.6264405250549316,0.17059437876153224,0.01,1.6675307750701904
16,client_0,113,3.961324691772461,0.12322965025273575,0.01,0.9882837533950806
16,client_1,345,3.386610507965088,0.3305457652169118,0.01,2.400109052658081
16,client_2,174,3.6519880294799805,0.12482273799469146,0.01,1.363659381866455
16,client_3,126,3.676968574523926,0.1648432310300249,0.01,0.9718249440193176
16,client_4,202,3.7809255123138428,0.17510118222294377,0.01,1.5981332063674927
17,client_0,113,3.759981632232666,0.1028457472003182,0.01,1.0160223245620728
17,client_1,345,3.3037099838256836,0.3649466350247477,0.01,2.3572402000427246
17,client_2,174,3.652790069580078,0.1289574138279377,0.01,1.354123592376709
17,client_3,126,3.814143657684326,0.17570388940457035,0.01,0.9252863526344299
17,client_4,202,3.639974594116211,0.17951064420034593,0.01,1.6220351457595825
18,client_0,113,3.49033522605896,0.12142018044340185,0.01,0.9726394414901733
18,client_1,345,3.243300676345825,0.39329886198539543,0.01,2.34643292427063
18,client_2,174,3.631450653076172,0.16079894947907952,0.01,1.3522522449493408
18,client_3,126,3.546083450317383,0.18593490815626162,0.01,0.9480524659156799
18,client_4,202,3.530649185180664,0.151121813322087,0.01,1.5919380187988281
19,client_0,113,3.56144642829895,0.16517779085007558,0.01,0.9679824113845825
19,client_1,345,3.1037609577178955,0.38927302150908133,0.01,2.333742618560791
19,client_2,174,3.3934664726257324,0.22220133630908037,0.01,1.3676493167877197
19,client_3,126,3.6673245429992676,0.1715030807781479,0.01,0.9548870325088501
19,client_4,202,3.467109203338623,0.16642721466294022,0.01,1.5395030975341797
20,client_0,113,3.669224739074707,0.1142018129423781,0.01,0.9788661003112793
20,client_1,345,3.1384847164154053,0.3982819396300967,0.01,2.362107753753662
20,client_2,174,3.5045042037963867,0.1219522309774812,0.01,1.3726446628570557
20,client_3,126,3.455012321472168,0.16800185757796984,0.01,0.9373470544815063
20,client_4,202,3.5763468742370605,0.1832969218064624,0.01,1.5951160192489624
21,client_0,113,3.817028284072876,0.12689114185071315,0.01,0.9582289457321167
21,client_1,345,3.07242488861084,0.2953577332214448,0.01,2.285963296890259
21,client_2,174,3.451948642730713,0.1638908119934402,0.01,1.3668725490570068
21,client_3,126,3.639284372329712,0.1582431784221593,0.01,0.9369617700576782
21,client_4,202,3.605959415435791,0.18363202549074154,0.01,1.5883526802062988
22,client_0,113,3.73968243598938,0.09019597253402171,0.01,0.9856249690055847
22,client_1,345,3.141185998916626,0.3964676710760944,0.01,2.3573834896087646
22,client_2,174,3.2968180179595947,0.11001511355037134,0.01,1.3461928367614746
22,client_3,126,3.5032405853271484,0.2150527259614055,0.01,0.9587495923042297
22,client_4,202,3.5390846729278564,0.16503933593592976,0.01,1.5622437000274658
23,client_0,113,3.5739986896514893,0.12680509813045998,0.01,0.9795870780944824
23,client_1,345,2.991641044616699,0.40718153303010757,0.01,2.251659393310547
23,client_2,174,3.4322996139526367,0.13328375563857753,0.01,1.3242822885513306
23,client_3,126,3.50179386138916,0.1833346334683656,0.01,0.9359785318374634
23,client_4,202,3.4994215965270996,0.1907843744386195,0.01,1.5790268182754517
24,client_0,113,3.5887773036956787,0.10475620851149492,0.01,0.9755964875221252
24,client_1,345,2.985522985458374,0.38798589714283166,0.01,2.3764591217041016
24,client_2,174,3.383945941925049,0.10391894283264022,0.01,1.322237491607666
24,client_3,126,3.355072021484375,0.16977551065083596,0.01,0.9299510717391968
24,client_4,202,3.3951940536499023,0.21094212042331587,0.01,1.5603431463241577
25,client_0,113,3.4394068717956543,0.15297287904150836,0.01,0.9827069640159607
25,client_1,345,2.9556872844696045,0.4078943316402518,0.01,2.257133960723877
25,client_2,174,3.346721887588501,0.18427956703237322,0.01,1.3142156600952148
25,client_3,126,3.375047206878662,0.12694330311162338,0.01,0.9594433307647705
25,client_4,202,3.4003729820251465,0.15063065057669436,0.01,1.5549218654632568
